"Replication","Practical_Tau","Practical_RBO","Creative_Tau","Creative_RBO"
2,0.59916347159289,0.3069535444672,0.617924528301887,0.355515986207289
3,0.814743813175322,0.427071065049079,0.821069182389937,0.729459373796645
4,0.881317532241199,0.584050271565589,0.883333333333333,0.625156724955603
5,0.920529801324503,0.580539094741333,0.905345911949686,0.607784037243627
6,0.91617288253747,0.793502215833108,0.938364779874214,0.778397529290249
7,0.93813175322412,0.740411621334337,0.94622641509434,0.902503709425991
8,0.943882886023005,0.846345027015247,0.949842767295597,0.834659963093378
9,0.952596723597072,0.918592455672336,0.962735849056604,0.766049685801358
10,0.960613454165214,0.900277787443176,0.971698113207547,0.962631823251682
11,0.964970372952248,0.962820063010732,0.966981132075472,0.886093749918042
12,0.962181944928547,0.812892628461899,0.97374213836478,0.918564215854321
13,0.968107354478912,0.936371864108008,0.97374213836478,0.849327323490051
14,0.974032764029279,0.942826753948745,0.977201257861635,0.967316680034535
15,0.972289996514465,0.932739303291775,0.97940251572327,0.987912455321864
16,0.979261066573719,0.985127157690829,0.979874213836478,0.957519334014102
17,0.970895782502614,0.975053876192198,0.982232704402516,0.913015219012677
18,0.974555594283723,0.997066026162695,0.983176100628931,0.986927529586973
19,0.978215406064831,0.992750262013546,0.984905660377358,0.949426010357695
20,0.98065528058557,0.778750410114241,0.982704402515723,0.991526812257728
